2020-02-09 14:18:14.169 [main                ] [INFO ] RtNodeSlaveApplication >>> Starting RtNodeSlaveApplication on WIN-IQ534GK0C9P with PID 8392 (C:\Users\Administrator\Desktop\redtorch-github-sync\eclipse-workspace\redtorch-github\rt-node-slave\bin\main started by Administrator in C:\Users\Administrator\Desktop\redtorch-github-sync\eclipse-workspace\redtorch-github\rt-node-slave) 
2020-02-09 14:18:27.014 [pool-4-thread-1     ] [INFO ] SlaveSystemServiceImpl >>> 连接网关,网关ID:8980aad4-7299-4615-93fa-cdcb95b76e14,网关名称:095076SIM10130 
2020-02-09 14:18:27.014 [pool-4-thread-1     ] [INFO ] SlaveSystemServiceImpl >>> 使用反射创建网关实例,网关ID:8980aad4-7299-4615-93fa-cdcb95b76e14,网关名称:095076SIM10130 
2020-02-09 14:18:27.015 [pool-4-thread-1     ] [INFO ] GatewayApiAbstract >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 开始初始化 
2020-02-09 14:18:27.015 [pool-4-thread-1     ] [INFO ] SlaveSystemServiceImpl >>> 调用网关连接,网关ID:8980aad4-7299-4615-93fa-cdcb95b76e14,网关名称:095076SIM10130 
2020-02-09 14:18:27.015 [pool-4-thread-1     ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口实例初始化 
2020-02-09 14:18:27.016 [pool-4-thread-1     ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口使用临时文件夹C:\Users\ADMINI~1\AppData\Local\Temp\2\xyz\redtorch\gateway\ctp\jctpv6v3v15x64api\CTP_FLOW_TEMP 
2020-02-09 14:18:27.017 [pool-4-thread-1     ] [WARN ] MdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 行情接口实例初始化 
2020-02-09 14:18:27.017 [pool-4-thread-1     ] [WARN ] MdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 行情接口使用临时文件夹:C:\Users\ADMINI~1\AppData\Local\Temp\2\xyz\redtorch\gateway\ctp\jctpv6v3v15x64api\CTP_FLOW_TEMP 
2020-02-09 14:18:27.018 [pool-4-thread-1     ] [INFO ] SlaveSystemServiceImpl >>> 重新订阅合约,网关ID:8980aad4-7299-4615-93fa-cdcb95b76e14,网关名称:095076SIM10130 
2020-02-09 14:18:27.018 [pool-4-thread-1     ] [WARN ] SlaveSystemServiceImpl >>> 连接网关完成,网关ID:8980aad4-7299-4615-93fa-cdcb95b76e14,网关名称:095076SIM10130 
2020-02-09 14:18:27.019 [pool-4-thread-1     ] [INFO ] SlaveSystemServiceImpl >>> 定时同步节点数据完成 
2020-02-09 14:18:27.127 [Thread-7            ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口前置机已连接 
2020-02-09 14:18:27.137 [Thread-8            ] [WARN ] MdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 行情接口前置机已连接 
2020-02-09 14:18:27.139 [Thread-9            ] [WARN ] MdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 行情接口前置机已连接 
2020-02-09 14:18:27.141 [Thread-10           ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口前置机已连接 
2020-02-09 14:18:27.172 [Thread-11           ] [INFO ] MdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] OnRspUserLogin TradingDay:20200207,SessionID:0,BrokerId:,UserID: 
2020-02-09 14:18:27.173 [Thread-11           ] [WARN ] MdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 行情接口获取到的交易日为20200207 
